용어,초성,설명
실권약관(失權約款),ㅅ,"실권약관이란 채무자에게 채무불이행이 있을 경우에는 채권자 측의 특별한 의사표시가 없더라도 당연히 계약의 효력이 없어지고, 채무자의 계약상의 권리를 상실하게 하는 뜻의 약관이다. 실효약관이라고도 한다. 이것은 해제권의 보유가 아니라 채무불이행을 해제조건으로 하는 조건부행위로 생각된다. 따라서 이점에서 해제와 다르다."
실버산업(Silver産業),ㅅ,"실버산업이란 노령층을 위한 각종 상품 편의시설 등을 생산ㆍ제공하는 산업으로 銀을 뜻하는 실버라는 단어는 노인이라는 부정적인 이미지를 없애기 위해 판매자가 고안해낸 말이다. 실버산업은 노인전용주택이나 노인병원 등 노인 관계 서비스 시설 외에도 노인용 의료기기, 단순 기능의 노인용 가전제품, 건강식품 및 노화방지용 화장품 등 노령층을 겨냥한 모든 상품을 포함한다. 최근 노령인구의 급속한 증가와 함께 핵가족화라는 사회적 변화로 이같이 노인을 대상으로 하는 산업이 주목받고 있다. 노령층이 수적인 증가뿐만 아니라 실질적인 구매력을 점차 갖추게 됨에 따라 이들을 향한 마케팅 전략 수립이 기업의 중요한 과제로 대두되고 있다."
실비청구권(實費請求權),ㅅ,"중개업자는 중개대상물의 권리관계 등의 확인에 소요되는 실비를 권리를 이전하는 중개의뢰인으로부터 받을 수 있다. 실비는 등기부등본ㆍ토지ㆍ건축물대장ㆍ지적도등의 권리관계 판독 및 증명의 발급, 현장조사에에 소요되는 여비등 실질 소요 비용으로, 이는 수수료와 법률적인 측면에서 구별되어야 한다."
실시설계(實施設計),ㅅ,"실시설계란 기본설계의 결과를 토대로 시설물의 규모, 배치, 형태, 공사방법과 기간, 공사비, 유지관리 등에 관하여 세부조사 및 분석, 비교ㆍ검토를 통하여 최적안을 선정하여 시공 및 유지관리에 필요한 설계도서, 도면, 시방서, 내역서 , 구조 및 수리계산서 등을 작성하는 것을 말한다(기본설계등에관한세부시행기준 제3조).
실시설계에는 다음과 같은 사항들이 포함된다.
1. 설계 개요 및 법령등 제기준 검토 
2. 기본설계 결과의 검토 
3. 구조물 형식 결정 및 설계 
4. 구조물별 적용 공법 결정 및 설계 
5. 시설물의 기능별 배치 결정 
6. 공사비 및 공사기간 산정 
7. 토취장, 골재원 등의 조사확인 및 자재공급계획 
8. 기본공정표 및 상세공정표의 작성 
9. 시방서, 물량내역서, 단가규정 및 구조 및 수리계산서 작성 
10. 기타 발주청이 계약서 및 과업지시서에서 정하는 사항"
실측거래(實測去來),ㅅ,"부동산 거래에 있어서 수량의 기준을 실측에 두는 것을 특히 실측거래라 한다. 통상, 등기부, 과세대장, 등에 의한 공부면적에 의한 거래가 많으나, 실제면적과 공부면적과의 차가 현저하게 다른 경우에 사용된다."
"쌍무계약(雙務契約, bilateral contract)",ㅆ,"쌍무계약이란 당사자 양쪽이 서로 대가적 의미를 가지는 채무를 부담하는 계약을 말하며, 편무계약과 대응되는 개념이다. 민법에서 규정하고 있는 14종의 전형계약 가운데 매매 이외에 임대차ㆍ교환ㆍ도급ㆍ조합ㆍ화해ㆍ고용 등은 쌍무계약이다. 위임과 임치는 유상이면 쌍무계약, 무상이면 편무계약이다.
상호의 채무가 대가적 의미를 가지고 있다는 것은 그 채무의 객체인 이행이 객관적ㆍ경제적으로 서로 균형이 되는 가치를 가지고 있는 것이 아니고, 상호적으로 이행해야 할 일이 의존관계를 가지고 채무의 부담이 교환적인 원인관계에 서는 것을 뜻한다."
쌍방대리(雙方代理),ㅆ,한사람의 대리인이 쌍무계약의 당사자 양쪽의 대리인의 자격으로 계약을 체결하는 경우와 같은 대리 형태를 의미한다. 민법은 본인의 이익을 해할 우려가 있기 때문에 원칙적으로 이것을 금지한다(민법 제124조). 다만 본인의 이익을 해하지 않는 경우에는 예외로 한다. 부동산중개업법 제16조에서도 중개업자가 거래 당사자 쌍방을 동시에 대리하는 행위를 금지하고 있다.
"쌍방적중개계약(雙方的仲介契約) = 쌍방중개계약(雙方仲介契約), 전임적중개계약(專任的仲介契約)",ㅆ,중개계약으로 인하여 중개와 수수료 발생 또는 보수지급이 상호 대가적이고 의무적으로 존재하는 계약으로서 전속중개계약이나 독점중개계약과 거의 유사하다.
쌍방중개(雙方仲介),ㅆ,"중개는 거래당사자간의 권리의 득실ㆍ변경 행위를 알선하는 것으로, 거래당사자 쌍방으로부터 모두 중개의뢰를 받는 경우의 중개를 쌍방중개, 거래당사자 일방으로부터만 중개의뢰를 받아 중개를 하는 것을 일방중개라고 한다.
일반적으로 대부분의 중개는 쌍방중개로 이루어지며, 공동중개의 경우에는 각각의 중개업자가 일방중개를 하는 경우가 대부분이다."
임대사례비교법(賃貸事例比較法),ㅇ,대상물건과 동일성 또는 유사성이 있는 다른 물건의 임대사례와 비교하여 대상물건의 현황에 맞게 사정보정 및 시점수정 등을 가하여 임료를 산정하는 방법을 말한다(감정평가에관한규칙 제4조제2호후단).
임대사례비교법(賃貸事例比較法),ㅇ,임대사례비교법이란 대상물건과 동일성 또는 유사성이 있는 다른 물건의 임대사례와 비교하여 가격시점과 대상물건의 현황에 맞게 시점수정과 사정보정을 가하여 임료를 추정하는 방법을 말하며 이 방법에 의하여 산정된 임료를 유추임료라 한다.
임대인(賃貸人),ㅇ,임대차계약에 있어서 임차인에 대하여 목적물을 사용ㆍ수익하기로 약정한 자를 말한다. 임대인은 임차인에 대하여 목적물을 사용ㆍ수익시킬 의무를 갖는 반면 임료청구권을 갖는다.
임대주택(賃貸住宅),ㅇ,"임대주택법에서 임대주택이란 임대목적에 제공되는 건설임대주택 및 매입임대주택을 말한다(법 제2조제1호).
건설임대주택이라 함은 다음 각목의 1에 해당하는 주택을 말하며, 그 종류는 대통령령으로 정한다(법 제2조제2호).
  가. 임대사업자가 임대를 목적으로 건설하여 임대하는 주택
  나. 주택건설촉진법 제6조의 규정에 의하여 등록한 주택건설사업자가 동법 제33조의 규정에 의한 사업계획승인을 얻어 건설한 주택중 사용검사시까지 분양되지 아니한 주택으로서 제6조의 규정에 의한 임대사업자등록을 마치고 건설교통부령이 정하는 바에 따라 임대하는 주택
매입임대주택이라 함은 임대사업자가 매매등에 의하여 소유권을 취득하여 임대하는 주택을 말한다."
임대주택법(賃貸住宅法),ㅇ,"임대주택법이란 임대주택의 건설ㆍ공급 및 관리와 주택임대사업에 필요한 사항을 정함으로써 임대주택의 건설을 촉진하고 국민주거생활의 안정을 도모함을 목적으로 제정된 법률을 말한다(법 제1조).
임대주택의 건설ㆍ공급 및 관리에 관하여 이 법에서 정하지 아니한 사항에 대하여는 주택건설촉진법 및 주택임대차보호법을 적용한다(법 제3조).
이 법에서는 건설교통부장관은 주택건설촉진법 제4조의 규정에 의한 주택건설종합계획을 수립함에 있어서 임대주택건설에 관한 사항을 포함시켜야 한다. 지방자치단체 및 대한주택공사는 주택을 건설함에 있어서 임대주택을 우선 건설하여야 한다고 규정하고 있다(법 제4조)."
임대차(賃貸借),ㅇ,"임대차는 당사자 일방(임대인)이 상대방에게 목적물을 사용, 수익하게 할 것을 약정하고 상대방(임차인)이 이에 대하여 차임을 지급할 것을 약정함으로써 그 발생하는 유상, 쌍무, 불요식의 계약이다(민법 제618조).
임차인은 물건의 사용ㆍ수익을 내용으로 한, 임용한 물건자체를 반환하지 않으면 안 되는 점에서 소비대차(消費貸借)와 다르고 사용대차(使用貸借)에 유사하나, 차임의 지급이 요소로 되어 있는 점에서 사용대차와도 다르다.
임대차에 있어서 임대인은 목적물을 임차인의 사용수익에 필요한 상태를 유지하게 할 적극적 의무를 부담하며, 임차인은 임차물을 반환할 때까지 선량한 관리자의 주의로 그 목적물을 보존하고 계약 또는 임대물의 성질에 의하여 정한 용법에 따라서 사용ㆍ수익하여야 한다. 또한 민법은 임차인이 임대인의 승낙 없이 임차인으로서의 권리 즉 임차권을 양도하거나 임차물을 전대하는 것을 금하고 만약에 임차인이 이에 반하여 무단히 제3자에게 임차물의 사용수익을 하게 하면 임대차를 해지할 수 있다고 정하고 있다."
임시사용승인(臨時使用承認),ㅇ,"임시사용승인이란 해당 건축물의 사용승인서를 교부받기 전에 공사가 완료된 부분에 대한 임시사용의 승인을 의미하는 것으로, 건축물 및 대지가 건설교통부령이 정하는 기준에 적합한 경우에 한하여 임시사용을 승인될 수 있으며, 식수 등 조경에 필요한 조치를 하기에 부적합한 시기에 건축공사가 완료된 건축물에 대하여는 허가권자가 지정하는 시기까지 식수 등 조경에 필요한 조치를 할 것을 조건으로 하여 임시사용을 승인할 수 있다(건축법시행령 제17조제2항및제3항)."
임야(林野),ㅇ,지적법에서는 산림 및 원야를 이루고 있는 수림지ㆍ죽림지ㆍ암석지ㆍ자갈땅ㆍ모래땅ㆍ습지ㆍ황무지와 간석지등의 지목은 임야로 한다(지적법시행령 제5조). 임야는 지적도에서 “임”으로 표기된다.
"임야도(林野圖, Forestry Map)",ㅇ,"임야도란 지적공부의 일종으로서 임야대장에 등재된 토지에 대하여 토지의 소재, 지번, 지목, 경계 등을 등록한 도면을 의미한다. 임야도의 축척으로는 1/3,000, 1/6,000이 있다."
임원(任員),ㅇ,"독점규제및공정거래에관한법률 제2조제5호에서는 임원이란 이사ㆍ대표이사ㆍ업무집행을 하는 무한책임사원ㆍ감사나 이에 준하는 자 또는 지배인등 본점이나 지점의 영업전반을 총괄적으로 처리할 수 있는 상업사용인으로 규정하고 있다.
이 법률이 부동산중개업법의 중개법인의 임원의 범위에 적용되는 것은 아니나, 임원의 범위를 구분할 수 있는 참고로 활용될 수 있는 것이다."
주택재개발구역(住宅再開發區域),ㅈ,"주택재개발구역이란 주택재개발사업을 시행하기 위하여 도시계획으로 지정ㆍ고시된 구역을 말한다(법 제2조제1호). 주택재개발구역 안에 계획ㆍ결정되는 공공시설 및 건축기준은 당해 구역의 개발방향을 제시하고 사업시행계획의 기준이 된다. 주택재개발구역의 지정은 재개발기본계획에 적합한 범위 안에서 지정 또는 변경될 수 있다.
구역의 지정은 행정구역, 지형, 이미 결정된 도시계획사항, 건축시설의 배치 및 규모, 효율적인 사업시행 규모 및 주민의 의견과 부담능력 등을 종합적으로 고려하여 주변환경과의 조화와 주변에 설치된 도시계획시설과의 연계성을 갖도록 정한다.
주택재개발구역은 아래의 각 사항에 해당하는 지역을 대상으로 지정한다(법제4조제1항, 시행령 제7조).
① 공공시설의 정비에 따라 토지가 건축 대지로서의 효용을 다할 수 없게 되거나, 과소토지로 되어 도시의 환경이 현저히 불량하게 될 우려가 있는 지역
② 건축물이 노후ㆍ불량하여 그 기능을 다할 수 없거나 건축물이 과도하게 밀집되어 있어 그 구역 안 토지의 합리적인 이용과 가치의 증진을 도모하기 곤란한 지역
③ 인구ㆍ산업 등이 과도하게 집중되어 있어 도시기능을 회복하기 위하여 토지의 합리적인 이용이 요청되는 지역
④ 재개발구역 안의 토지면적(공공시설용지를 제외)의 2분의 1을 초과하는 부분이 최저고도지구이고, 그 최저고도지구 안에 있는 건축물 바닥면적의 3분의 2 이상에 해당하는 건축물이 최저 한도의 높이에 미달하는 지역
⑤ 순환용 주택을 건설하기 위하여 필요한 지역"
주택재개발사업(住宅再開發事業),ㅈ,"도시 내에 낡고 오래된 주택이 밀집되어 주거생활이 불편하고, 도로ㆍ상하수도 시설이 불량한 지역을 재개발구역으로 지정하여 도로ㆍ상하수도ㆍ공원 등 공공시설을 정비하고 낡은 주택은 헐고 새로 건축하는 등 주거환경을 개선하는 도시계획사업을 말한다.
주택재개발사업은 사업방식에 따라 철거재개발(Redevelopment, 전면재개발), 수복재개발(Rehabilitation), 보존재개발(Conservation), 개량재개발, 순환재개발로 구분된다."
주택저당증권(住宅抵當證券),ㅈ,주택저당증권이라 함은 주택저당채권을 기초로 하여 발행하는 수익증권을 말한다(주택저당채권유동화회사법 제2조제4호).
주택저당채권(住宅抵當債權),ㅈ,주택저당채권이라 함은 주택건설촉진법 제3조의 규정에 의한 주택의 구입 또는 건축에 소요된 대출자금(주택의 구입 및 건축에 소요된 자금을 보전하기 위한 대출자금을 포함한다)과 이 자금의 상환을 위한 대출자금에 대한 채권으로서 당해 주택에 설정된 저당권에 의하여 담보된 채권을 말한다(주택저당채권유동화회사법 제2조제2호).
주택저당채권담보부채권(住宅抵當債權擔保附債券),ㅈ,주택저당채권담보부채권이라 함은 주택저당채권을 담보로 하여 발행하는 채권을 말한다(주택저당채권유동화회사법 제2조제3호).
주택저당채권유동화회사(住宅抵當債權流動化會社),ㅈ,주택저당채권유동화회사라 함은 주택저당채권유동화회사법 제3조의 규정에 의하여 채권유동화업무의 인가를 받은 자를 말한다(주택저당채권유동화회사법 제2조제7호).
주택조합(住宅組合),ㅈ,"주택건설촉진법상의 용어. 동일 또는 인접한 시(서울 및 직할시 포함)ㆍ군에 거주하는 주택이 없는 서민이 주택을 마련하기 위하여 설립한 조합인 지역조합과, 동일한 직장에 근무하는 주택이 없는 근로자가 주택을 마련하기 위하여 설립한 조합인 직장조합 및 주택건설촉진법시행령이 정하는 노후ㆍ불량주택을 철거하고 그 철거한 대지 위에 주택을 건설하기 위하여 기존주택의 소유자가 설립한 조합인 재건축 조합을 총칭하는 것(제3조제9호)."
주택청약정기예금(住宅請約定期預金),ㅈ,일반주택건설회사에서 신축하여 분양하는 주택에 대하여 일정한 기간이 경과되어 자격을 갖춘 자에게 입주권 또는 입주우선권을 부여하는 제도이다.
준공업지역(準工業地域),ㅈ,"도시계획구역중 하나인 준공업지역은 공업의 편익증진을 위하여 필요한 공업지역중 경공업 기타 공업을 수용하되, 주거ㆍ상업ㆍ업무기능의 보완이 필요한 지역을 의미한다(도시계획법시행령 제29조제3호).
준공업지역에서의 건폐율은70퍼센트이하(산업입지및개발에관한법률 제2조제5호의 규정에 의한 산업단지에 있어서는 80퍼센트 이하)의 범위안에서 도시계획조례가 정하는 비율을 초과하여서는 아니된다(도시계획법시행령 제62조제1항).
준공업지역에서의 용적율은200퍼센트 이상 400퍼센트 이하의 범위안에서 도시계획조례가 정하는 비율을 초과하여서는 아니된다(도시계획법시행령 제63조제1항).
준공업지역안에서 건축할 수 있는 건축물은 도시계획법시행령 별표에서 규정하고 있다."
준농림지역(準農林地域),ㅈ,"국토이용관리법에서 준농림지역이란 농업진흥지역외의 지역의 농지 및 준보전임지등으로서 농림업의 진흥과 산림보전을 위하여 이용하되, 개발용도로도 이용할 수 있는 지역을 말한다(국토이용관리법 제6조제4호).
준농림지역 안에서는 환경오염의 우려가 있거나 부지가 일정규모이상인 공장ㆍ건축물ㆍ공작물 기타의   시설의 설치등 국토이용관리법시행령이 정하는 토지이용행위는 할 수 없다. 다만, 농림부장관이 농업진흥이나 농지보전에 필요하다고 인정하는 지역에서는 농지법에 의하여 행위를 제한할 수 있다. 이 경우에는 이 법에 의한 행위제한의 취지와 형평을 이루도록 하여야 한다(국토이용관리법 제15조제4호)."
아파트,ㅇ,아파트란 공동주택의 한가지로서 주택건설촉진법시행령 제2조에서는 5층이상의 주택을 아파트라고 한다.
아파트지구,ㅇ,"아파트지구란 주거기능ㆍ상업기능 또는 공업기능을 집중적으로 개발ㆍ정비할 필요가 있는 개발촉진지구중 주택건설촉진법 제20조 내지 제22조의 규정에 의한 아파트지구개발사업에 의한 아파트의 집단적인 건설ㆍ관리를 위하여 필요한 지구를 의미한다(도시계획법시행령 제30조제1호).
아파트지구안에서는 주택건설촉진법 제20조의 규정에 의한 아파트지구개발기본계획에 위반하여 건축물을 건축할 수 없다. 다만, 아파트지구개발기본계획이 수립되기 전에는 아파트지구의 계획적 개발에 위배되지 아니하는 범위안에서 건축물을 건축할 수 있다(도시계획법시행령 제59조)."
악의(惡意),ㅇ,"선의에 대응되는 말. 악의란 어떤 사실이나 사정을 알고 있다는 것이다. 논리상의 가치평가로서의 악의의 의미는 포함되지 않는다. 어떤 사정을 분명하게는 알지 못하나 의심을 품고 있는 정도이면 선의로 되나, 점유에 대한 경우는 점유해야 할 권리가 있는가 없는가 의심을 품고 있는 경우도 악의로 포함되는 경우도 있다(민법 제201조)."
안목치수,ㅇ,"안목치수란 주택의 내부 공간의 길이나 면적을 측정할 때 사용하는 도구로서, 통상의 건물면적은 각 벽면의 중심선 사이의 간격을 기준으로 적용하여 건물면적과 실제 활용공간의 면적과는 차이가 있으나, 안목치수는 실제 거주할 수 있는 공간, 즉 한쪽 벽의 안쪽부분에서 상대측 벽의 안쪽부분간 거리를 재 방이나 거실면적을 계산한다. 안목치수를 적용하면 실내 가용면적이 벽두께와 관계없이 일정하게 계산되며 자재ㆍ부품ㆍ가구 등의 규격화를 확보할 수 있다."
안전진단(安全診斷),ㅇ,"재건축에서 안전진단은 주택의 노후ㆍ불량정도에 따라 구조의 안전성 여부, 보수비용 및 주변 여건 등을 조사하여 재건축 가능여부를 판단하는 작업을 말한다. 시장ㆍ군수ㆍ구청장는 안전진단결과와 도시계획 및 지역여건 등을 종합적으로 검토하여 재건축 허용여부를 결정한다
안전진단에는 다음과 사항이 포함된다.
- 건물의 구조안전 및 설비에 관한 사항
- 건물의 가격, 수선유지비 및 관리비에 관한 사항
- 재건축에 따른 토지이용도 및 경제성 판단에 관한 사항
- 재해의 위험여부에 관한 사항
- 도시미관, 토지이용도, 난방방식, 구조적 결함 또는 부실시공 등의 여부  
- 재건축에 관한 종합의견"
"알선(斡旋, good offices, kind offices)",ㅇ,"알선이란 남의 일을 잘 되도록 주선해 주는 것을 의미하며, 주선(周旋, good offices, kind offices)이란 일이 잘 되도록 여러 가지 방법으로 두루 힘을 써 주는 것을 말한다."
압류(押留),ㅇ,"압류란 넓은 의미로는 특정의 물건 또는 권리에 대하여 개인의 사실상 또는 법률상의 처분을 제한하는 국가기관에 의한 강제적 행위를 말하나, 좁은 의미로서는 금전 채권에 대한 강제집행의 제1단계로서 집행기관이 채무자의 재산을 확보하고 채무자의 처분권을 제한하는 강제적 행위를 의미한다."
압류금지(押留禁止),ㅇ,"채무자의 일정한 재산을 강제집행의 목적물로서 압류하는 것을 법률상 또는 재판상 금지하는 것을 의미한다. 민법소송법 제532조는 일정한 유체동산을, 동법 579조는 일정한 채권을 압류하지 못하는 것으로 열거하고 있으나, 기타 법률에서 개별적으로 압류의 금지를 규정하는 경우도 적지 않다. 또 법원은 일정한 요건 하에 재량으로 압류금지의 범위를 확장할 수 있다. 민사소송법 532조의 균일적인 법정압류금지에 탄력을 주어서 채무자의 궁상을 구제하려는 것이다. 압류금지 인정의 근거는 채무자의 최저한도의 생활이나 생업의 유지를 보장하려는 사회ㆍ정책적 목적과 국가적 공익업무에 종사하는 자를 보호하려는 목적에서 유래된 것이다. 압류금지물은 채무자가 파산하더라도, 파산재단에 들어가지 않는다. 압류금지는 원칙적으로 강행적이며, 이에 위반한 압류는 위법한 압류로서 집행의 방법에 관한 이의에 의한 구제가 인정된다."
압류명령(押留命令),ㅇ,"제3채무자에 대하여 채무자에게 지급하는 것을 금지하고, 채무자에 대하여 채권의 처분 특히 그의 추심과 영수의 금지를 명하는 집행법원의 결정. 이 압류명령은 직권으로 제3채무자와 채무자에게 송달하고, 채권자에게 그 송달한 것을 통지하여야 한다. 제3채무자에 대한 송달로서 압류의 효력이 발생한다.
채권 기타 재산권에 대한 집행은 이에 준하여 개시되고, 이 명령에 반하는 처분, 즉 채무자의 채권양도, 면제, 상계나 제3채권자의 변제는 압류채권자에게 대항할 수 없다. 압류명령은 채권자의 신청에 의하여 행하여지고 이 신청을 받은 집행법원은 제3채무자와 채무자를 심문하지 않고 결정한다. 왜냐하면 채권은 무형적 존재이기 때문에 압류를 예고하면 미리 처분할 염려가 있기 때문이다.
신청이 부적법하거나 또는 압류금지의 채권일 때에는 이를 각하 한다. 유체동산 또는 부동산의 인도청구권에 대한 압류명령 중에는 인도명령을 포함하나, 이 인도명령은 압류명령의 요소는 아니다."
약관(約款),ㅇ,"약관이라 함은 그 명칭이나 형태 또는 범위를 불문하고 계약의 일방당사자가 다수의 상대방과 계약을 체결하기 위하여 일정한 형식에 의하여 미리 마련한 계약의 내용을 말한다.
보통은 부동문자(不動文字)로써 인쇄되며 대개는 기업자 또는 그 단체에 의하여 일방적으로 작성되지만 거래의 당사자가 특히 보통거래약관에 의하지 않는다는 뜻을 표시하여 계약을 하지 않는 한 이것에 의한 것으로 인정된다.
약관의 효력에 대해서는 여러 가지의 학설이 존재하며, 우리나라의 경우 개개 약관 자체에는 규법성이 없지만 약관에 의하여 거래가 이루어지는 분야에서의 계약은 특별한 사정이 없는 한 약관에 따른다는 상관습 또는 상관습법이 존재하는 결과로서 당사자를 구속한다는 관습법설이 다수설이다."
약정해제권(約定解除權),ㅇ,"당사자의 계약에 의하여서 발생하는 해제권을 말한다(민법 543조). 법정해제권에 대응되는 말이다. 약정해제권은 당사자의 일방 또는 쌍방을 위하여 유보하는 수도 있으나, 반드시 당초의 계약으로써만 할 수 있는 것은 아니고 계약체결 후 별개의 계약으로써도 할 수 있다. 매매계약에 있어서의 해약금의 교부, 환매의 특약도 약정해제권의 유보이다."
양도담보(讓渡擔保),ㅇ,"담보물자체를 채권자에게 양도하는 방법에 의한 물적담보제도 중 한가지.
양도담보라 함은 채권담보의 목적으로 물건이나 기타 재산권의 소유권을 채무자가 채권자에게 이전하고, 채무자의 채무불이행이 있는 때에는 채권자가 그 목적물로부터 우선변제를 받고 채무의 이행이 있는 때에는 목적물을 채무자에게 반환하는 형태로 이루어진다.
민법이 규정하고 있는 담보제도는 아니지만, 경제적 필요에 의하여 많이 이용되고 있다. 과거에는 이것을 허위표시라고 하고, 또 동산의 양도담보를 동산질의 설정요건위반의 탈법행위라고 하며 또는 유질금지위반의 탈법행위라고도 하였으나, 현재에 있어서는 판례ㆍ통설이 그 유효성을 인정하고 있으며, 가등기담보등에관한법률로서 구체적으로 정하고 있다."
양도소득세(讓渡所得稅),ㅇ,"양도소득세란 소득세법에 의하여 자산에 대한 등기 또는 등록에 관계없이 매도, 교환, 법인에 대한 현물출자 등으로 인하여 그 자산이 유상으로 사실상 이전됨으로서 발생하는 소득이 있는 자에 부과되는 세금이다. 양도소득세 납세의무자는 개인으로 국내 거주자와 비거주자, 법인격 없는 사단ㆍ재단 기타 단체에 부과된다.
과세표준의 산정 기준이 되는 양도소득금액은 양도가액에서 취득가액과 설비비ㆍ개량비ㆍ자본적지출액ㆍ양도비용등 필요경비와 장기보유특별공제액을 제외한 금액이다. 양도소득금액에서 양도소득기본공제액(연250만원)을 제외한 양도소득과세표준액에 대하여 양도소득세가 부과된다.
양도소득세액은 양도소득과세표준액에 초과누진세율(20%, 30%, 40%)을 적용하여 계산하나, 2년미만 보유한 토지나 건물, 부동산에 관한 권리에 대해서는 40%의 세율이 적용되고, 미등기자산에 대해서는 65%의 세율이 적용된다.
양도소득세는 1세대1주택비과세나 농지에 대한 비과세 등 다양한 비과세 및 감면제도가 있다."
양도증서(讓渡證書),ㅇ,"일반적으로 양도증서란 법률행위에 의한 권리의 양도를 증명하는 서면을 말한다.
양도증서 제도는 특히 기명주식이나 증권의 양도방법으로서 가장 많이 활용된다. 즉, 주권에 주주로서 표시된 자가 그 주식을 양도할 뜻을 기재하고 기명 날인한 주식의 양도를 증명하는 서면을 말한다.
양도증서에도 상대방의 성명을 기재한 기명식인 것과, 이를 기재하지 않은 백지식의 것이 있다(백지식 또는 약식양도증서)."
어림셈법,ㅇ,"복잡한 할인현금수지분석법 대신 널리 사용되는 단순한 투자분석법으로 승수법(乘數法：multiplier)과 수익률법이 있다. 어림셈법은 특정방법에 의해 계산된 비율을 또 다른 방법에 의해 계산된 비율과 직접 비교하기 난해하며, 미래의 현금수지를 할인하지 않는다는 약점이 있다."
어업권(漁業權),ㅇ,"어업권이라 함은 수산업법 제8조의 규정에 의하여 면허를 받아 어업을 경영할 수 있는 권리를 말한다(제2조제6호).
다음 각호의 1에 해당하는 어업을 하고자 하는 자는 시장ㆍ군수 또는 자치구의 구청장의 면허를 받아야 한다(동법 제8조).
    1. 정치망어업 : 일정한 수면을 구획하여 대통령령이 정하는 어구를 정치하여 수산동물을 포획하는   어업
    2. 해조류양식어업 : 일정한 수면을 구획하여 그 수면의 바닥을 이용하거나 수중에 필요한 시설을 하여 해조류를 양식하는 어업
    3. 패류양식어업 : 일정한 수면을 구획하여 그 수면의 바닥을 이용하거나 수중에 필요한 시설을 하여   패류를 양식하는 어업
    4. 어류등양식어업 : 일정한 수면을 구획하여 그 수면의 바닥을 이용 또는 수중에 필요한 시설을 하거나 기타의 방법으로 패류외의 수산동물을 양식하는 어업
    5. 복합양식어업 : 제2호 내지 제4호 및 제6호의 양식어업을 제외한 어업으로서 양식어장의 특성등을 고려하여 제2호 내지 제4호의 서로 다른 양식어업 대상품종을 2종이상 복합적으로 양식하는 어업
    6. 협동양식어업 : 일정한 수심범위안의 수면을 구획하여 제2호 내지 제5호의 방법으로 양식하는 어업
    7. 마을어업 : 일정한 수심이내의 수면을 구획하여 패류ㆍ해조류 또는 정착성수산동물을 관리ㆍ조성하여 포획ㆍ채취하는 어업"
업무시설(業務施設),ㅇ,"건축법상의 용어로서, 업무시설에는 국가 또는 지방자치단체의 청사와 외국공관의 건축물로서 제1종 근린생활시설에 해당하지 아니하는 것과 금융업소ㆍ사무소ㆍ신문사ㆍ오피스텔(업무와 주거를 함께 할 수 있는 건축물로서 건설교통부장관이 고시하는 것) 기타 이와 유사한 것으로서 제2종 근린생활시설에 해당하지 아니하는 것을 포함한다(건축법시행령 별표1)."
"업무지역(業務地域, business district) = 업무지구(業務地區)",ㅇ,"공공용 또는 업무용 건축물이 집중되어 있어 업무집행에 관한 상호 편리를 도모하고 그 분위기를 조성된 일정한 지역을 의미한다. 경제나 행정의 중심적 부문 또는 관리적 부문이 집중적으로 입지해 있는 것으로, 업무지역 중 특히 중요한 중추 관리 기능이 집중해 있는 지구를 중심 업무 지구(CBD : central business district)라 한다.
또한, 도시설계에서 업무용 건축물을 집중시킴으로써 업무집행에 관한 상호 편리를 도모하고 그 분위기를 조성하기 위하여 필요한 일정한 지역을 획정ㆍ구분하여 업무지구로 지정하는 경우도 있다."
